Code,Borough,crime_rate,ER_wa_white_UK_born,ER_wa_ethnic_minority_UK_born,earning_less_than_LLW,homeless_in_1000 
E09000002,Barking and Dagenham,70.9,59.2,64.9,27.7,7.05
E09000003,Barnet,55.8,72.2,66.6,28.5,4.23
E09000004,Bexley,45.6,77.3,85.7,32.4,5.18
E09000005,Brent,70.8,74.8,64.6,32.8,4.57
E09000006,Bromley,52.7,79,65.2,27.9,5.98
E09000007,Camden,103.1,72.2,49.6,13,0.6
E09000008,Croydon,67.4,77.4,77.8,25.2,6.63
E09000009,Ealing,69.0,84.3,71.2,32.3,5.56
E09000010,Enfield,58.5,77.9,62.8,33.8,8.37
E09000011,Greenwich,71.6,72.8,68.4,26.9,4.82
E09000012,Hackney,91.2,77.3,50.1,21.1,6.95
E09000013,Hammersmith and Fulham,98.1,77.8,73.4,16.2,4.42
E09000014,Haringey,85.8,77.4,67.5,30.7,5.95
E09000015,Harrow,45.5,78.8,69,31,4.92
E09000016,Havering,58.1,80.3,75.3,27.2,3.09
E09000017,Hillingdon,63.5,72.6,77.8,22.4,2.5
E09000018,Hounslow,71.3,77.8,69.9,19.3,3.55
E09000019,Islington,99.9,75,67.6,11.4,3.72
E09000020,Kensington and Chelsea,109.8,75.7,40.2,26.9,6.09
E09000021,Kingston upon Thames,49.6,77.1,42.9,25.2,3.41
E09000022,Lambeth,90.8,82.3,68.7,16.1,3.6
E09000023,Lewisham,68.4,76.1,67.6,19.3,5.93
E09000024,Merton,53.5,81.8,69.5,30.4,1.37
E09000025,Newham,77.1,74.9,56,30.8,10.15
E09000026,Redbridge,56.7,79.2,63.3,29.1,4.23
E09000027,Richmond upon Thames,49.9,80.2,75.4,19.8,2.26
E09000028,Southwark,87.9,82.5,53.8,12.9,6.88
E09000029,Sutton,45.0,80.3,89,36.1,3.74
E09000030,Tower Hamlets,85.3,80.9,55.5,12.3,3.61
E09000031,Waltham Forest,64.9,76.1,57.6,38.2,7.74
E09000032,Wandsworth,65.8,81.9,78.6,20.3,5.82
E09000033,Westminster,171.3,74.6,54,15,4.47
