,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
0,E01000001,City of London 001A,1,18.61,20.01,1042,13.0,113,1,65520.0,516492.0
1,E01000002,City of London 001B,1,18.86,20.29,1007,22.8,64,1,66300.0,537917.0
2,E01000003,City of London 001C,0,14.25,18.3,1037,5.9,240,2,54140.0,334500.0
3,E01000005,City of London 001E,1,19.37,13.12,715,19.0,53,3,46740.0,326667.0
4,E01000006,Barking and Dagenham 016A,16,9.38,7.58,1221,14.7,122,6,62460.0,239017.0
5,E01000007,Barking and Dagenham 015A,14,6.84,4.74,1036,20.0,74,6,61830.0,164000.0
6,E01000008,Barking and Dagenham 015B,5,12.11,2.66,1045,19.5,83,14,38200.0,140833.0
7,E01000009,Barking and Dagenham 016B,29,7.25,9.79,1319,12.8,144,6,32940.0,194833.0
8,E01000010,Barking and Dagenham 015C,42,1.97,2.76,2293,35.2,89,8,31430.0,136992.0
9,E01000011,Barking and Dagenham 016C,11,10.51,6.02,1209,9.2,183,8,35230.0,224332.0
10,E01000012,Barking and Dagenham 015D,17,12.11,3.34,1321,13.9,144,14,35190.0,142417.0
11,E01000013,Barking and Dagenham 013A,22,51.97,12.75,1059,20.8,83,11,34830.0,157500.0
12,E01000014,Barking and Dagenham 013B,18,56.78,11.32,1072,34.1,49,11,33780.0,159333.0
13,E01000015,Barking and Dagenham 009A,33,37.25,6.68,1481,28.1,83,17,33190.0,150667.0
14,E01000016,Barking and Dagenham 009B,13,43.12,11.26,1047,19.9,83,11,32850.0,165665.0
15,E01000017,Barking and Dagenham 009C,19,47.31,10.3,1046,15.8,102,10,32520.0,166083.0
16,E01000018,Barking and Dagenham 009D,28,41.67,9.89,1036,17.4,96,13,33720.0,167667.0
17,E01000019,Barking and Dagenham 023A,31,27.75,9.85,907,18.4,78,11,33120.0,174667.0
18,E01000020,Barking and Dagenham 023B,23,33.75,11.39,1164,18.7,100,9,33750.0,171000.0
19,E01000021,Barking and Dagenham 008A,25,37.71,8.12,1070,16.9,95,12,33990.0,162167.0
20,E01000022,Barking and Dagenham 008B,25,45.0,7.86,875,12.8,105,14,34070.0,163333.0
21,E01000023,Barking and Dagenham 008C,19,34.64,8.59,952,20.7,70,7,31980.0,178662.0
22,E01000024,Barking and Dagenham 008D,18,37.5,8.98,840,12.9,104,10,34440.0,174250.0
23,E01000025,Barking and Dagenham 008E,16,39.75,9.99,1057,15.3,104,11,34270.0,168333.0
24,E01000027,Barking and Dagenham 001A,21,37.58,13.31,1019,147.5,12,13,33810.0,175500.0
25,E01000028,Barking and Dagenham 001B,15,40.42,14.2,911,14.4,109,13,33790.0,152667.0
26,E01000029,Barking and Dagenham 001C,41,32.12,27.43,854,25.7,62,4,32750.0,235167.0
27,E01000030,Barking and Dagenham 001D,18,32.43,11.13,1146,28.6,69,17,31780.0,145333.0
28,E01000031,Barking and Dagenham 002A,32,36.32,14.03,1054,84.4,19,6,35540.0,221833.0
29,E01000032,Barking and Dagenham 002B,40,31.18,14.55,1031,37.6,44,7,31830.0,198000.0
30,E01000033,Barking and Dagenham 006A,12,41.28,11.51,858,14.5,97,12,38150.0,171733.0
